,Media,Text,Date,Compound,Positive,Neutral,Negative
346,@FoxNews,"Pennsylvania college student who went missing in Bermuda found dead, officials say https://t.co/LcRKyP0d7k",Mon Mar 19 20:29:22 +0000 2018,-0.7579,0.0,0.629,0.371
347,@FoxNews,Holy Cross Drops 'Knight' Mascot Over Ties to Christian Violence in the Crusades https://t.co/qDcSao3Qft,Mon Mar 19 20:11:39 +0000 2018,-0.6249,0.0,0.76,0.24
348,@FoxNews,".@WhiteHouse, Dems restart negotiations over DACA, funding border wall https://t.co/frvcb0X3XG",Mon Mar 19 20:05:53 +0000 2018,0.0,0.0,1.0,0.0
349,@FoxNews,".@POTUS on drug traffickers: ¡°My Department of Justice will be seeking so many, much tougher penalties than we¡¯ve e¡­ https://t.co/KGqSXSzUUt",Mon Mar 19 19:59:16 +0000 2018,0.6557,0.23,0.77,0.0
350,@FoxNews,'Build The Wall and Keep the Damn Drugs Out': #Trump Slams Dems' Inaction in Opioid Speech https://t.co/OxSld53cxp,Mon Mar 19 19:49:19 +0000 2018,-0.5719,0.0,0.761,0.239
351,@FoxNews,".@POTUS: ¡°Together, we will end the scourge of drug addiction in America once and for all. We will win, we will bea¡­ https://t.co/VE7u72Dea2",Mon Mar 19 19:43:25 +0000 2018,0.5859,0.147,0.853,0.0
352,@FoxNews,".@POTUS: ¡°We want every American to be able to reach their full, God-given potential¡­The brave families here today¡­ https://t.co/Z4ktE9Ktrc",Mon Mar 19 19:41:38 +0000 2018,0.5859,0.266,0.734,0.0
353,@FoxNews,".@POTUS: ¡°We pay, as a country, so much more for drugs because of the drug lobbies &amp; other reasons¡­If you compare o¡­ https://t.co/i2sUXNITOY",Mon Mar 19 19:33:22 +0000 2018,-0.1027,0.0,0.938,0.062
354,@FoxNews,"RT @FoxBusiness: .@POTUS: ""You'll be seeing drug prices falling very substantially in the not-so-distant future."" https://t.co/ycNGnI7zU9",Mon Mar 19 19:22:03 +0000 2018,-0.1531,0.0,0.904,0.096
355,@FoxNews,.@POTUS: ¡°Ending sanctuary cities is crucial to stopping the drug addiction crisis.¡± https://t.co/8Dht9hIv6m,Mon Mar 19 19:21:45 +0000 2018,-0.1531,0.0,0.882,0.118
356,@FoxNews,".@POTUS: ""90% of the heroin in America comes from our southern border where, eventually @TheDemocrats will agree wi¡­ https://t.co/xiq1lotg9y",Mon Mar 19 19:14:12 +0000 2018,-0.1779,0.11,0.749,0.141
357,@FoxNews,.@POTUS: ¡°We¡¯re also taking action to prevent addiction by addressing the problem of overprescribing.¡± https://t.co/qT9GUEmnt3,Mon Mar 19 19:12:25 +0000 2018,-0.3818,0.065,0.774,0.161
358,@FoxNews,.@POTUS on opioid crisis: ¡°Failure is not an option. Addiction is not our future. We will liberate our country from¡­ https://t.co/5xLismjo7g,Mon Mar 19 19:00:15 +0000 2018,-0.6249,0.0,0.83,0.17
359,@FoxNews,".@POTUS on law enforcement officers: ¡°We thank you, we honor you, and we want you to know that we will always have¡­ https://t.co/2xJ7iyTEGJ",Mon Mar 19 18:56:00 +0000 2018,0.7184,0.259,0.741,0.0
360,@FoxNews,".@FLOTUS: ""We must continue educating [mothers] about the real dangers of opioids on unborn babies.""¡­ https://t.co/YJhdGgWnZj",Mon Mar 19 18:46:26 +0000 2018,-0.4939,0.0,0.824,0.176
361,@FoxNews,.@POTUS delivers remarks on efforts to combat the opioid crisis.  https://t.co/xgbqseWlE2 https://t.co/FEclJ9H74n,Mon Mar 19 18:32:11 +0000 2018,-0.7579,0.0,0.606,0.394
362,@FoxNews,"OPINION: Sen. Tom Cotton: Why I support Pompeo at State, Haspel at CIA https://t.co/q4P3O8DFD7",Mon Mar 19 18:17:22 +0000 2018,0.4019,0.184,0.816,0.0
363,@FoxNews,Jesse James jackpot: Outlaw photo bought on eBay for $10 could be worth $2 million https://t.co/9jxynxJ458,Mon Mar 19 17:57:21 +0000 2018,0.2263,0.112,0.888,0.0
364,@FoxNews,RT @FoxBusiness: #BreakingNews: Dow falls 400+ points in tech-led downdraft https://t.co/30utuhJG0P https://t.co/tWwx1qJnC9,Mon Mar 19 17:30:25 +0000 2018,0.0,0.0,1.0,0.0
365,@FoxNews,Amazing drone footage captured the beauty of China¡¯s countryside in the spring. https://t.co/V40asWEVDy,Mon Mar 19 17:27:44 +0000 2018,0.8225,0.409,0.591,0.0
